,Local,Magnitude,Tipo,Significancia,Profundidade,Latitude,Longitude,Timestamp,Year
0,"54 km S of Whites City, New Mexico",2.1,Terremoto,68,7.262719727000001,31.68874715,-104.2886935,2021-12-16 07:19:51.203,2021
1,"98 km S of Nikolski, Alaska",2.7,Terremoto,112,35.0,52.0642,-168.6241,2021-12-16 07:35:12.064,2021
2,"4 km NE of Coyle, Oklahoma",2.12,Terremoto,69,7.38,35.98333333,-97.19783333,2021-12-16 07:49:58.479,2021
3,"8 km WSW of San Luqueño, Mexico",4.3,Terremoto,284,83.84,15.9789,-93.9123,2021-12-16 07:49:58.771,2021
4,"42 km SE of Naalehu, Hawaii",2.31,Terremoto,82,9.31,18.8125,-155.272833333333,2021-12-16 08:02:31.450,2021
5,Kermadec Islands region,4.7,Terremoto,340,355.41,-31.0302,-179.6747,2021-12-16 08:02:37.731,2021
6,"5 km WNW of Honch?, Japan",4.2,Terremoto,274,57.15,35.7261,139.9344,2021-12-16 08:02:45.648,2021
7,"3km SE of Lake Henshaw, CA",2.3,Terremoto,83,11.43,33.2225,-116.7451667,2021-12-16 08:05:41.730,2021
8,"57 km W of Nanwalek, Alaska",2.6,Terremoto,104,81.6,59.3962,-152.9242,2021-12-16 08:17:30.125,2021
9,"47 km E of Pedro Bay, Alaska",2.8,Terremoto,121,131.4,59.8624,-153.2775,2021-12-16 08:25:56.487,2021
10,"47 km SE of Naalehu, Hawaii",2.69,Terremoto,111,8.16,18.7681666666667,-155.261166666667,2021-12-16 08:46:18.440,2021
11,"50 km SE of Naalehu, Hawaii",2.86,Terremoto,126,8.33,18.7343333333333,-155.252,2021-12-16 08:47:46.190,2021
12,"49 km SE of Naalehu, Hawaii",2.96,Terremoto,135,8.04,18.7376666666667,-155.266,2021-12-16 08:53:09.440,2021
13,"43 km ESE of Naalehu, Hawaii",3.19,Terremoto,157,7.21,18.883,-155.215166666667,2021-12-16 08:54:18.700,2021
14,"48 km ESE of Naalehu, Hawaii",2.87,Terremoto,127,8.57,18.8311666666667,-155.1975,2021-12-16 09:01:16.080,2021
15,"23 km ESE of Honaunau-Napoopoo, Hawaii",2.17,Terremoto,72,0.31,19.409,-155.643833333333,2021-12-16 09:14:49.110,2021
16,"1 km E of P?hala, Hawaii",2.31999993,Terremoto,83,35.1399993896484,19.2014999389648,-155.464996337891,2021-12-16 09:17:42.030,2021
17,"210 km SSE of Chiniak, Alaska",2.9,Terremoto,129,5.83,56.0454,-150.3407,2021-12-16 09:35:40.293,2021
18,"42 km NNW of Valdez, Alaska",2.1,Terremoto,68,15.1,61.5029,-146.5544,2021-12-16 09:47:36.191,2021
19,"133 km SSE of Perryville, Alaska",2.4,Terremoto,89,31.2,54.8004,-158.343,2021-12-16 09:54:18.173,2021
20,"Island of Hawaii, Hawaii",2.18000007,Terremoto,73,33.4500007629395,19.2134990692139,-155.412994384766,2021-12-16 10:00:29.120,2021
21,"14 km ENE of Gardendale, Texas",3.3,Terremoto,184,10.53999837,32.06268311,-102.2393054,2021-12-16 10:01:36.725,2021
22,"116 km S of Unalaska, Alaska",3.2,Terremoto,158,2.32,52.8312,-166.7546,2021-12-16 10:40:35.065,2021
23,"74 km W of Panguna, Papua New Guinea",4.6,Terremoto,326,88.47,-6.2487,154.8126,2021-12-16 10:55:02.346,2021
24,"34 km SE of Mina, Nevada",2.2,Terremoto,74,8.2,38.1742,-117.8178,2021-12-16 11:01:42.163,2021
25,"277 km S of Ambon, Indonesia",5.2,Terremoto,416,378.62,-6.1953,127.989,2021-12-16 11:03:30.817,2021
26,"5 km SE of P?hala, Hawaii",2.38,Terremoto,87,32.0400009155273,19.1673336029053,-155.448501586914,2021-12-16 11:09:12.250,2021
27,"118 km WNW of Yakutat, Alaska",2.3,Terremoto,81,11.6,60.0156,-141.6125,2021-12-16 11:31:37.632,2021
28,"23 km WSW of Sand Point, Alaska",3.1,Terremoto,148,98.45,55.2201,-160.8119,2021-12-16 11:38:24.387,2021
29,"88 km N of Cruz Bay, U.S. Virgin Islands",3.79,Terremoto,221,46.0,19.132,-64.7775,2021-12-16 11:48:51.100,2021
30,"1 km ENE of P?hala, Hawaii",2.7,Terremoto,112,35.92,19.2053333333333,-155.467666666667,2021-12-16 11:59:36.700,2021
31,"2 km E of P?hala, Hawaii",2.29999995,Terremoto,81,35.4500007629395,19.2024993896484,-155.457336425781,2021-12-16 12:04:30.160,2021
32,"17 km S of Centennial Park, Arizona",2.34,Terremoto,84,13.55,36.8013333,-113.0125,2021-12-16 12:05:02.440,2021
33,"42 km ESE of Naalehu, Hawaii",2.34,Terremoto,84,11.57,18.8646666666667,-155.232166666667,2021-12-16 12:07:13.790,2021
34,Indian Ocean Triple Junction,4.6,Terremoto,326,10.0,-25.31,69.6712,2021-12-16 12:07:33.156,2021
35,Indian Ocean Triple Junction,4.4,Terremoto,298,10.0,-25.3391,69.7939,2021-12-16 12:15:47.784,2021
36,"7 km E of P?hala, Hawaii",2.13000011,Terremoto,70,32.0900001525879,19.2116661071777,-155.404998779297,2021-12-16 12:19:08.400,2021
37,"35 km NW of Toyah, Texas",4.4,Terremoto,303,8.548120117,31.56493822,-104.0301734,2021-12-16 12:25:25.256,2021
38,"10 km W of Lamont, Oklahoma",2.12,Terremoto,69,7.14,36.70016667,-97.67216667,2021-12-16 12:31:08.460,2021
39,South Sandwich Islands region,4.6,Terremoto,326,69.45,-57.8706,-25.8262,2021-12-16 12:33:59.291,2021
40,"35 km NW of Toyah, Texas",2.2,Terremoto,74,7.57121582,31.56630912,-104.0323311,2021-12-16 12:40:51.958,2021
41,"15km WSW of Delta, B.C., MX",3.05,Terremoto,144,18.43,32.3251667,-115.3526667,2021-12-16 13:13:36.910,2021
42,"103 km E of Chignik, Alaska",2.2,Terremoto,74,67.9,56.364,-156.7407,2021-12-16 13:20:21.746,2021
43,"24 km NNW of Komodo, Indonesia",4.9,Terremoto,369,172.77,-8.3743,119.4466,2021-12-16 13:23:43.876,2021
44,"119 km ESE of Iquique, Chile",4.5,Terremoto,312,111.51,-20.7756,-69.1699,2021-12-16 13:28:50.553,2021
45,"57 km NNE of Calama, Chile",4.6,Terremoto,326,125.51,-21.9821,-68.7075,2021-12-16 13:48:23.020,2021
46,"54 km ESE of Port Heiden, Alaska",2.1,Terremoto,68,87.1,56.7221,-157.8396,2021-12-16 13:56:12.538,2021
47,"33 km E of Nkhata Bay, Malawi",4.4,Terremoto,298,10.0,-11.5541,34.592,2021-12-16 14:03:59.909,2021
48,"60 km WSW of Anchor Point, Alaska",2.6,Terremoto,104,95.5,59.6217,-152.8627,2021-12-16 14:04:43.136,2021
49,"36 km NE of Murghob, Tajikistan",4.4,Terremoto,298,135.86,38.4155,74.2465,2021-12-16 14:07:13.165,2021
50,"237 km NNE of Fais, Micronesia",4.6,Terremoto,326,10.0,11.6897,141.493,2021-12-16 14:09:04.581,2021
51,"54 km ENE of Akutan, Alaska",2.2,Terremoto,74,114.5,54.3922,-165.0601,2021-12-16 14:17:30.885,2021
52,"31 km N of Valdez, Alaska",2.2,Terremoto,74,16.7,61.4116,-146.4125,2021-12-16 14:59:25.380,2021
53,"8 km ENE of P?hala, Hawaii",2.11999989,Terremoto,69,30.9799995422363,19.2280006408691,-155.40266418457,2021-12-16 15:02:42.990,2021
54,Fiji region,4.4,Terremoto,298,549.78,-21.9506,-178.9053,2021-12-16 15:23:24.758,2021
55,"12 km NE of Susitna North, Alaska",2.0,Terremoto,62,47.7,62.2344,-149.6603,2021-12-16 15:38:12.064,2021
56,"277 km E of Levuka, Fiji",4.3,Terremoto,284,519.05,-18.117,-178.0624,2021-12-16 16:19:07.118,2021
57,"2 km ESE of P?hala, Hawaii",2.7,Terremoto,112,36.92,19.1891666666667,-155.4565,2021-12-16 16:27:45.430,2021
58,"21 km W of Garden City, Texas",2.0,Terremoto,62,9.415079753,31.8649292,-101.7055307,2021-12-16 16:51:42.861,2021
59,"239 km WNW of Haveluloto, Tonga",4.4,Terremoto,298,486.19,-20.4613,-177.3895,2021-12-16 17:10:29.850,2021
60,"14 km N of Snyder, Texas",2.5,Terremoto,96,5.746866862,32.84820557,-100.9402391,2021-12-16 17:42:40.189,2021
61,"1 km SSW of P?hala, Hawaii",2.18,Terremoto,73,32.060001373291,19.1923332214355,-155.484832763672,2021-12-16 17:54:17.540,2021
62,"67 km NE of Lake Minchumina, Alaska",2.0,Terremoto,62,19.2,64.2629,-151.2326,2021-12-16 18:15:53.582,2021
63,"55 km S of Whites City, New Mexico",2.3,Terremoto,81,6.697143555000001,31.67887517,-104.4005938,2021-12-16 18:24:20.077,2021
64,"4 km SSW of P?hala, Hawaii",2.1400001,Terremoto,70,33.2599983215332,19.1651668548584,-155.498504638672,2021-12-16 18:29:57.480,2021
65,"17 km ESE of Balmorhea, Texas",2.2,Terremoto,74,6.979931641,30.90374763,-103.5920044,2021-12-16 18:54:38.488,2021
66,"Kodiak Island region, Alaska",3.6,Terremoto,199,11.0,56.7414,-153.153,2021-12-16 18:57:55.437,2021
67,"133 km SSW of Tual, Indonesia",4.1,Terremoto,259,10.0,-6.649,132.1046,2021-12-16 19:06:31.894,2021
68,"49 km SE of Naalehu, Hawaii",2.88,Terremoto,128,7.51,18.7533333333333,-155.251,2021-12-16 19:07:56.350,2021
